No	sitiran 1	case	sitiran 2	bentuk	acuan	speaker 3	speaker mdl dede	speaker 2	jender 1	file 1	File 2	Kesantunan	makna kesantunan	katagori bentuk 1	Fungsi 1	Fungsi 2	Fungsi 3	Fungsi 4	katagori ProN 1	katagori ProN 2	katagori ProN 3	Pronomina Unmarked	Pronomina Inklusif / eksklusif	Formal/informal	jender kuMtul
437	salah satu my eks yang tadi  disebutkan tuh juga sempat nelfon	aku	untuk  mengingatkan bahwa dia bukan orang yang baik. (JA F 7   F, 321	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
438	lebih percaya sama pasangan kita, kan? gitu  lho. lebih percaya dan	aku	coba konfirmasi dan dia  bilang  aku baik baik aja dan aku	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
439	? gitu  lho. lebih percaya dan aku coba konfirmasi dan dia  bilang	aku	baik baik aja dan aku tidak punya siapa siapa  , gitu lho.	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
440	aku coba konfirmasi dan dia  bilang  aku baik baik aja dan	aku	tidak punya siapa siapa  , gitu lho. dan e.. nggak tau kenapa,	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
441	, bahkan yang baca berita  pertama kali di tabloid itu tuh kakek	aku	, dan  tolong cek  itu berita itu seperti ini bener apa nggak	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
442	harta...       Anya    keuangan keluarga terganggu..      (JA F 7   F, 347 Nuri   betul, alhamdulillah.	aku	syukur alhamdulillah banget  kalau aku karena emang...       Alvin   karena hidup harus	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
443	..      (JA F 7   F, 347 Nuri   betul, alhamdulillah. aku syukur alhamdulillah banget  kalau	aku	karena emang...       Alvin   karena hidup harus  terus berlanjut life goes on     ..	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
444	F 7   F, 360 ayu,  anya   berulang kali (JA F 7   F, 361 Astrid   ee..	aku	sekarang... (JA F 7   F, 362 Anya   tapi lebih kuat (JA F 7   F, 364	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
445	(JA F 7   F, 364 Ayu   tapi lebih jackpot (JA F 7   F, 365 Astrid	aku	sekarang gitu sih, lebih ke fokus ke kerjaan aja ya.  sekarang	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
446	sekarang gitu sih, lebih ke fokus ke kerjaan aja ya.  sekarang	aku	...bangkit! bangkit!nya bangkit! (JA F 7   F, 366 Anya   bangkitnya jangan ngagetin	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
447	jangan ngagetin gue donk!astrid      semua  tertawa      (JA F 7   F, 367 Astrid	aku	udah nggak mo gitu gitu. jadi sekarang aku mo  ngejar ketinggalan	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
448	F 7   F, 367 Astrid   aku udah nggak mo gitu gitu. jadi sekarang	aku	mo  ngejar ketinggalan aku kan aku sempat fakum 5 tahun  kuliah dulu	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
449	udah nggak mo gitu gitu. jadi sekarang aku mo  ngejar ketinggalan	aku	kan aku sempat fakum 5 tahun  kuliah dulu sih, tapi sekarang aku	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
450	mo gitu gitu. jadi sekarang aku mo  ngejar ketinggalan aku kan	aku	sempat fakum 5 tahun  kuliah dulu sih, tapi sekarang aku saatnya untuk	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
451	aku kan aku sempat fakum 5 tahun  kuliah dulu sih, tapi sekarang	aku	saatnya untuk meniti  karirku, ee..menggapai sesuatu yang kemaren  ketinggalan, abis	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
452	sesuatu yang kemaren  ketinggalan, abis itu baru deh. selesai diperjalanannya  waktu	aku	yakin tuhan sudah menyediakan yang terbaik  buat aku. (JA F 7   F, 368	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
453	. selesai diperjalanannya  waktu aku yakin tuhan sudah menyediakan yang terbaik  buat	aku	. (JA F 7   F, 368 Nuri   mungkin tegar itu untuk    juga bisa kan?	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
454	donk...      ha,,ha,,ha,,ha,,ha,,      (JA F 7   F, 378 Ayu   hai..	aku	..      terlewatkan,,      (JA F 7   F, 380 Ayu   iya,ya,ya bener. tapi apa	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
455	kayaknya kata yang paling  tepat karena mm..bukan buta ya, mm..	aku	tidak mencintai  dia dengan buta, aku hanya tau I have big	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
456	mm..bukan buta ya, mm..aku tidak mencintai  dia dengan buta,	aku	hanya tau I have big love. (JA F 7   F, 386 Anya   life	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 7  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
457	begitu lah. (JA F 8, 19 21 Nava  hmm.. Jack lagi sibuk ngatur menu,	aku	sibuk bantuin  untuk promonya. jadi ya, aah..pokoknya waktu dalam  3 minggu	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
458	mean it's ok  kalo people a...p aaa...udah membentuk	aku	seperti  itu, gitu kan? karena bagaimanapun juga, nama besar  aku juga	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
459	membentuk aku seperti  itu, gitu kan? karena bagaimanapun juga, nama besar	aku	juga dibantu oleh dia, gitu. tapi kembali lagi kan  memang semuanya	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
460	ada yang mau bikin buku soal Nike Ardila,  dan mereka wawancara	aku	soal Nike gitu. well, aaa...  dan aku punya banyak cerita sih	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
461	Ardila,  dan mereka wawancara aku soal Nike gitu. well, aaa...  dan	aku	punya banyak cerita sih waktu jaman  jaman  waktu dulu, aku nyanyi,	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
462	...  dan aku punya banyak cerita sih waktu jaman  jaman  waktu dulu,	aku	nyanyi, apa segala macem gitu.  ish..it's ok. (JA F 8, 49 51	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
463	sebagian besar dari fansnya Nike yang  kadang  kadang selalu mengharap untuk	aku	tetep,  tetep, sebagai penggantinya gitu. jadi, ya maksud aku  suka  suka	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
464	mengharap untuk aku tetep,  tetep, sebagai penggantinya gitu. jadi, ya maksud	aku	suka  suka lah, maksudnya mo dia anggap sebagai  pengganti, atau aku	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
465	aku  suka  suka lah, maksudnya mo dia anggap sebagai  pengganti, atau	aku	mo jadi diri sendiri, jalanin aja  sih. (JA F 8, 51 53 Nava  How	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
466	yang, apa  namanya? harus ada team yang besar gitu. karena  waktu	aku	jadi penyanyi pun dulu team aku gede  banget gitu. (JA F 8, 58 60	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
467	yang besar gitu. karena  waktu aku jadi penyanyi pun dulu team	aku	gede  banget gitu. (JA F 8, 58 60 Nava  aku masih. (JA F 8, 60 62 Nava	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
468	penyanyi pun dulu team aku gede  banget gitu. (JA F 8, 58 60 Nava	aku	masih. (JA F 8, 60 62 Nava  karena aku lebih ke sinetron kan?      ok	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
469	banget gitu. (JA F 8, 58 60 Nava  aku masih. (JA F 8, 60 62 Nava  karena	aku	lebih ke sinetron kan?      ok      jadinya       nah, ini menarika ya?      ya. (	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
470	kalo, nggak tau kenapa ya? mm  aa..kalo, kalo acting itu,	aku	, karena aku suka baca  komik kan waktu kecil aku tuh ngumpulin	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
471	tau kenapa ya? mm  aa..kalo, kalo acting itu, aku, karena	aku	suka baca  komik kan waktu kecil aku tuh ngumpulin banyak  sekali	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
472	acting itu, aku, karena aku suka baca  komik kan waktu kecil	aku	tuh ngumpulin banyak  sekali komik ya topeng kaca, maya kita gima,	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
473	kaca, maya kita gima, aaa..  trus yang lain  lainnya, dimana sebenarnya	aku	belajar  acting itu dari komik jepang ini gitu lho. jadi pas	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
474	acting itu dari komik jepang ini gitu lho. jadi pas  waktu	aku	acting atou aku dapetin satu peran gitu  kan? aku membayangkan seseorang	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
475	komik jepang ini gitu lho. jadi pas  waktu aku acting atou	aku	dapetin satu peran gitu  kan? aku membayangkan seseorang yang ada di	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
476	pas  waktu aku acting atou aku dapetin satu peran gitu  kan?	aku	membayangkan seseorang yang ada di  komik tersebut yang      imajinasinya ya?      iya,	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
477	seseorang yang ada di  komik tersebut yang      imajinasinya ya?      iya,  imajinasi	aku	lebih berjalan pada saat aku acting gitu.  jadi, kayaknya aku enjoy	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
478	tersebut yang      imajinasinya ya?      iya,  imajinasi aku lebih berjalan pada saat	aku	acting gitu.  jadi, kayaknya aku enjoy banget pas waktu acting,  gitu	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
479	,  imajinasi aku lebih berjalan pada saat aku acting gitu.  jadi, kayaknya	aku	enjoy banget pas waktu acting,  gitu kan? kalo nyanyi (JA F 8, 80 82	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
480	nggak juga ya?       iya, nggak juga. cuman pada saat kalau beban	aku	kalo dinyanyi itu, aku suka nyanyi, tapi di rekaman  sama nyanyi	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
481	, nggak juga. cuman pada saat kalau beban aku  kalo dinyanyi itu,	aku	suka nyanyi, tapi di rekaman  sama nyanyi di tv aja. aku	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
482	, aku suka nyanyi, tapi di rekaman  sama nyanyi di tv aja.	aku	nggak mo show di luar  kota. (JA F 8, 82 84 Nava  kenapa? karena	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
483	nggak mo show di luar  kota. (JA F 8, 82 84 Nava  kenapa? karena	aku	nggak bisa entertain      padahal  off air?      ahehehe. nggak bisa entertain      oooh..	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
484	. (JA F 8, 88 90 Nava  nggak bisa. jadi kadang  kadang aaa.. yang ngundang	aku	suka kesel gitu. ahehehe. berarti kamu      jadi       butuh Mc itu. (JA	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
485	? a.. dikawinan Nava harus nyanyi 6  lagu, gitu kan? itu, sama sekali	aku	nggak ada ba bi bu  be bo ato selamat ya, ini	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
486	pulang gitu. (JA F 8, 96 98 Nava  nah, itu dia satu, kedua, a..	aku	tuh paling nggak suka  ngafalin lagu.  (JA F 8, 98 100 Nava  kadang  kadang	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
487	suka  ngafalin lagu.  (JA F 8, 98 100 Nava  kadang  kadang album ku sendiri	aku	juga lupa.  (JA F 8, 100 102 Nava  nggak ngerti ya, tapi I mean. (	aku	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 8  F.txt	positive politeness	2. intimacy	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. aku/gue/-ku (intimate form)	1a. Pronomina Orang. I tunggal	1. 1st person	Pronominal Pronoun	Unmarked	inklusif informal	Informal	Ft
